city_id,country_code,city,us_state,population,rank,lookback,month,humidity
3762,US,Buffalo,New York,258071,2,L3Y,11,4.182388902521121
3762,US,Buffalo,New York,258071,2,L3Y,12,2.891386831864699
3762,US,Buffalo,New York,258071,2,L5Y,1,2.5287074738380206
3762,US,Buffalo,New York,258071,2,L5Y,2,2.356608682014863
3762,US,Buffalo,New York,258071,2,L5Y,3,3.7303961138257535
3762,US,Buffalo,New York,258071,2,L5Y,4,2.6050020142163994
3762,US,Buffalo,New York,258071,2,L5Y,5,5.809025587415555
3762,US,Buffalo,New York,258071,2,L5Y,6,8.762874597633262
3762,US,Buffalo,New York,258071,2,L5Y,7,13.263371828443212
3762,US,Buffalo,New York,258071,2,L5Y,8,12.994726178245353
3762,US,Buffalo,New York,258071,2,L5Y,9,10.489752312039382
3762,US,Buffalo,New York,258071,2,L5Y,10,8.521364568763762
3762,US,Buffalo,New York,258071,2,L5Y,11,4.338036645993401
3762,US,Buffalo,New York,258071,2,L5Y,12,3.3123939802162594
3677,US,Rochester,New York,209802,3,L10Y,1,2.4443301940909636
3677,US,Rochester,New York,209802,3,L10Y,2,2.8023918590314705
3677,US,Rochester,New York,209802,3,L10Y,3,3.1968994816656875
3677,US,Rochester,New York,209802,3,L10Y,4,3.6259945833950793
3677,US,Rochester,New York,209802,3,L10Y,5,6.321792276079987
3677,US,Rochester,New York,209802,3,L10Y,6,8.453104892571442
3677,US,Rochester,New York,209802,3,L10Y,7,12.366558320573898
3677,US,Rochester,New York,209802,3,L10Y,8,12.341356752016612
3677,US,Rochester,New York,209802,3,L10Y,9,11.32448642874897
3677,US,Rochester,New York,209802,3,L10Y,10,8.132981977164569
3677,US,Rochester,New York,209802,3,L10Y,11,5.179661463533687
3677,US,Rochester,New York,209802,3,L10Y,12,3.6131700555410253
3677,US,Rochester,New York,209802,3,L1Y,1,2.598549895474154
3677,US,Rochester,New York,209802,3,L1Y,2,1.8874957328361421
3677,US,Rochester,New York,209802,3,L1Y,3,4.262345323807987
3677,US,Rochester,New York,209802,3,L1Y,4,2.7335465852334795
3677,US,Rochester,New York,209802,3,L1Y,5,2.616349656088452
3677,US,Rochester,New York,209802,3,L1Y,6,6.363041830178401
3677,US,Rochester,New York,209802,3,L1Y,7,13.377285151462361
3677,US,Rochester,New York,209802,3,L1Y,8,11.154682199357175
3677,US,Rochester,New York,209802,3,L1Y,9,10.626054205854079
3677,US,Rochester,New York,209802,3,L1Y,10,6.597315316316369
3677,US,Rochester,New York,209802,3,L1Y,11,4.236924852296492
3677,US,Rochester,New York,209802,3,L1Y,12,3.2248945121783796
3677,US,Rochester,New York,209802,3,L3Y,1,3.141488032019931
3677,US,Rochester,New York,209802,3,L3Y,2,1.85704896263862
3677,US,Rochester,New York,209802,3,L3Y,3,2.5055801081027327
3677,US,Rochester,New York,209802,3,L3Y,4,2.7172164716223093
3677,US,Rochester,New York,209802,3,L3Y,5,4.750031293953204
3677,US,Rochester,New York,209802,3,L3Y,6,7.24727733938911
3677,US,Rochester,New York,209802,3,L3Y,7,11.99035638129581
3677,US,Rochester,New York,209802,3,L3Y,8,12.001159374773033
3677,US,Rochester,New York,209802,3,L3Y,9,10.228986883383708
